"Menu","Price","Kind"
"牛ヒレ","280","1"
"串カツ牛","150","0"
"串カツ豚","150","0"
"豚ヒレ","170","0"
"ポールウインナー","150","0"
"ハムカツ","150","0"
"豚しそ","170","0"
"カレー玉","170","0"
"紅生姜","150","0"
"なすび","120","0"
"山芋","150","0"
"玉ねぎ","100","0"
"しいたけ","150","0"
"アスパラ豚巻き","330","1"
"レンコン","100","0"
"トマト","150","0"
"にんにく","120","0"
"じゃがいも","120","0"
"アスパラ","240","0"
"大串エビ","330","1"
"サーモン","170","0"
"キス","240","0"
"ホタテ","240","0"
"エビ","240","0"
"はんぺん","150","0"
"たらこ","150","0"
"チーズ","240","0"
"うずら","150","0"
"もち","170","0"
"ジムビームハイボール","399","2"
"角ハイボール","450","2"
"各サワー","450","2"
"各カクテル","450","2"
"ワイン","450","2"
"ビール(大)","610","3"
"ビール(中)","450","2"